,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.040947394256729115,0.04421991327824593,0.02642559109874826,0.6453546453546454,14.594208751470546,1.0,0.024614900875745555,2.695030610728101,0.9712498192528856,0.44986072423398327,0.6289467006351235,0.6214747324830581
1,frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.04421991327824593,0.040947394256729115,0.02642559109874826,0.5975948196114708,14.594208751470545,1.0,0.024614900875745555,2.383300843237875,0.9745753054733105,0.44986072423398327,0.5804138605341017,0.6214747324830581
2,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.04295181215740816,0.03108893070440972,0.021516812566473042,0.5009523809523809,16.113528822055137,1.0,0.020181486654682557,1.9415202724434537,0.9800346099264962,0.40965732087227413,0.4849397072009586,0.5965288220551379
3,frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03108893070440972,0.04295181215740816,0.021516812566473042,0.6921052631578948,16.11352882205514,1.0,0.020181486654682557,3.1083616357280763,0.9680355371882253,0.40965732087227413,0.6782871116070224,0.5965288220551379
4,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.04295181215740816,0.03657040006545038,0.02086230876216968,0.48571428571428577,13.28162352189198,1.0,0.01929154380803719,1.8733353332060687,0.9662084016372835,0.3556485355648536,0.4661927406832299,0.528092042186002
5,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03657040006545038,0.04295181215740816,0.02086230876216968,0.5704697986577182,13.28162352189198,1.0,0.01929154380803719,2.2281278123210346,0.9598085837595909,0.3556485355648536,0.5511927123434167,0.528092042186002
6,frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.035179579481305734,0.03714309089421582,0.022007690419700566,0.6255813953488373,16.842470033808013,1.0,0.020701012101406138,2.5716054094129643,0.9749236914217588,0.4373983739837398,0.611137853288201,0.6090462042823481
7,frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.03714309089421582,0.035179579481305734,0.022007690419700566,0.5925110132158591,16.842470033808013,1.0,0.020701012101406138,2.3677214644080395,0.9769118100889459,0.4373983739837398,0.5776530242124519,0.6090462042823481
8,frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.03129346314325452,0.037797594698519184,0.022457661785159126,0.7176470588235294,18.986580086580087,1.0,0.021274844148557345,3.4078001854427447,0.9779341673237382,0.481578947368421,0.7065555650029759,0.6559014514896868
9,frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.037797594698519184,0.03129346314325452,0.022457661785159126,0.5941558441558441,18.986580086580084,1.0,0.021274844148557345,2.3868929068150204,0.9845446397582452,0.481578947368421,0.5810453007150781,0.6559014514896868
10,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.043238157571790885,0.032766096702937085,0.02634377812321034,0.609271523178808,18.594571355342246,1.0,0.024927032470956206,2.475463040641636,0.9889826507072257,0.5304777594728172,0.5960351725789443,0.7066332647105026
11,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.032766096702937085,0.043238157571790885,0.02634377812321034,0.8039950062421972,18.594571355342246,1.0,0.024927032470956206,4.881313603726086,0.9782751202110934,0.5304777594728172,0.7951371124287808,0.7066332647105026
12,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.043238157571790885,0.08872617197087458,0.02118956066432136,0.4900662251655629,5.523355896909798,1.0,0.01735320445990287,1.7870434809402331,0.8559608178018541,0.1912850812407681,0.4404165255823204,0.36444297888061455
13,frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.08872617197087458,0.043238157571790885,0.02118956066432136,0.23881973259566622,5.5233558969097984,1.0,0.01735320445990287,1.2569451461095007,0.8986877751747349,0.1912850812407681,0.20442033361980658,0.36444297888061455
14,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.043238157571790885,0.04581526630123538,0.03207068641086476,0.7417218543046357,16.189403973509933,1.0,0.030089718707338384,3.694407558679831,0.9806319209884987,0.5628140703517588,0.7293206057760063,0.7208609271523179
15,frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.04581526630123538,0.043238157571790885,0.03207068641086476,0.7,16.189403973509933,1.0,0.030089718707338384,3.1892061414273636,0.9832804595730087,0.5628140703517588,0.6864423446919492,0.7208609271523179
16,frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.04957866317597971,0.038533911478360466,0.020207804957866317,0.4075907590759076,10.577456153258638,1.0,0.018297345139827666,1.6229761828526839,0.9526925324780556,0.29759036144578316,0.3838480129496952,0.4660034474785058
17,frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.038533911478360466,0.04957866317597971,0.020207804957866317,0.524416135881104,10.577456153258638,1.0,0.018297345139827666,1.998430578768364,0.9417485661842726,0.29759036144578316,0.49960733656492506,0.4660034474785058
